TA,專案,成效,興趣,類型
"28-55 / 龜山 / 年輕購物(IG)
",家悦美(副),差,"28-55 / 龜山 / 年輕購物(IG)
-體育大學站（+2 公里） ; 環球林口a8店（+3 公里）
-百貨公司（零售） 、購物中心（零售） 、三越百貨、時尚配件（飾品配件） 、免稅商店、網路購物網站 (網站) 、美容（社會觀念） 、音樂和音訊串流 (音樂) 、鞋類媒體和內容 (鞋類) 、美國運通、護膚保養（化妝品） 、 Apple Pay 、美妝新聞、內容和教學 (美妝) 、咖啡廳（咖啡） 、生活風格 (生活風格內容) 、 The North Face（服飾） 或熱門話題",名單
30-60 / 桃園蘆竹 / 藝術品投資,家悦美(主),優,"30-60 / 桃園蘆竹 / 藝術品投資
-桃園藝文廣場（+3 公里）, 好市多Costco南崁店（+3 公里）
-藝術和音樂（藝術） 、當代藝術（視覺藝術） 、藝術展覽（視覺藝術） 、藝術品（視覺藝術） 、手工藝（工藝品） 、雕刻（藝術） 、寶石（金屬與礦物） 、裝飾風藝術、花卉（植物與花卉） 、投資（商業與財務） 、美國運通、納斯達克100指數、投資管理（投資） 、插花、資產管理 (商業和金融業) 、被動收入（商業與財務） 或收藏（興趣）",訊息
"28-50 / 北區 / 金融會計
",LUCE VIVA,差,"28-50 / 北區 / 金融會計
-中山路（+2 公里）, 新竹中正路（+2 公里）
-零售銀行業務（銀行業） 、證券（金融） 、個人理財（銀行業） 、財務規劃（投資） 、金融服務（商業與財務） 、被動收入（商業與財務） 、銀行業（金融） 、信用卡（借貸） 、財經（商業與財務） 、註冊會計師、財務會計（商業與財務） 、股票經紀人 (投資) 、 Tax law 、銀行和金融服務 (銀行業) 、資料管理 (軟體) 或電腦運算",名單
30-60 / 東區關埔 / 三代同堂,昌禾大苑首席,差,"30-60 / 東區關埔 / 三代同堂
-關埔特區（+3 公里）, 竹塹城（+3 公里）
-高淨值人士（商業與財務） 、別墅（住宿） 、住宅區（房地產） 、教養方式 (兒童和親子教育) 、家電品牌和零售商 (零售) 、家庭（關係） 、教育資源 (教育) 、幼兒照護（兒童和親子教育） 、人壽保險（保險） 、遊程承攬業、伸展（健身） 、天氣預報、個人理財服務和組織 (銀行業) 、語言教育、量販店（食品零售業者） 或家庭自動化（消費電子產品）",名單
30-60 / 竹北 / 醫材銷售,昌禾大苑首席,可,"30-60 / 竹北 / 醫材銷售
-奇翼醫電 Singular Wings Medical（+3 公里） ; 新竹生物醫學園區（+2 公里）, 台灣生醫材料公司（+2 公里）
-Business networking 、生物技術、產品經理、高階管理人員、業務（商業與財務） 、分子生物學、 Medical education 、開發潛在顧客 (行銷) 、供應（經濟） 、曼秀雷敦、 DHC 、維他命和營養補充品 (保健食品) 、人體營養（科學） 或經銷（商業）、職稱：Medical Sales Representative 或區經理、行業類別：健康照護與醫療服務或業務
0120
+衛生政策研究、產品（公司） 、企業家（商業與財務） 、企業級軟體、 B2B（商業與財務） 、銷售管理 (商業活動) 或商務旅遊（旅遊觀光業）, 行為：使用 Facebook 的管道（行動裝置）：所有行動裝置、Account manager",名單
"35-65 / 中壢青埔 / 退休規劃
",君品天玥,差,"35-65 / 中壢青埔 / 退休規劃(FB)
-青埔區（+3 公里） ; SOGO 百貨 中壢店（+3 公里）
-退休規劃（銀行業） 、退休社區（房地產） 、財務規劃（投資） 、投資組合 (金融) 、儲蓄帳戶（銀行業） 、登山步道（健行） 、觀鳥、水族飼養、茶葉品牌 (食物和飲品) 、排屋、住宅區（房地產） 、魚油、有機食品（美食和餐飲） 、文化遺產 (藝術和文化) 、亞洲文化 (文化) 或簡餐館（餐廳）
0120
-石門大圳過嶺支渠休憩步道（+3 公里）, 青埔區（+3 公里）, 百花川步道（+3 公里）",名單
30-60 / 北屯太平潭子 / 年輕娛樂,大興家園,差,"30-60 / 北屯太平潭子 / 年輕娛樂
-洲際棒球場（+2 公里）, 潭子觀音媽祖廟（+2 公里）, 肥佬闆複合超市（+3 公里）
-上班族（流行文化） 、服裝（服飾） 、購物中心（零售） 、美容（社會觀念） 、時尚配件（飾品配件） 、快時尚（服飾） 、儲蓄（銀行業） 、個人理財（銀行業） 、熱門話題、網路銀行（銀行業） 、淘寶網、網路購物（零售） 、行動應用程式（軟體） 、釀造（啤酒） 、運動場所 (體育運動) 、休閒娛樂（社會觀念） 、 Spotify（串流服務） 、 Netflix（串流服務） 或 591房屋交易網",訊息
35-60 / 東區竹北 / 戶外活動,LUCE VIVA,差,"35-60 / 東區竹北 / 戶外活動
-台元科技園區（+3 公里） ; 台積電三廠（+3 公里）, 新竹科學園區（+3 公里）
-戶外休閒活動（戶外活動） 、登山（爬山） 、露營（戶外活動） 、居家風格和類型 (房地產) 、釣魚（戶外活動） 、營地 (露營) 、健行裝備（運動用品） 、休旅車營地（露營） 、自助旅行 (旅遊) 、漁具、慢跑（跑步） 、游泳（水上運動） 、公園與遊憩或旅遊景點和活動 (旅遊觀光業)",名單
30-65 / 北區 / 室設裝潢,LUCE VIVA,差,"30-65 / 北區 / 室設裝潢
-*中山路（+2 公里）, 新竹中正路（+2 公里）
-室內設計（設計） 、居家用品零售商 (零售) 、百葉簾、生活風格 (生活風格內容) 、居家裝修（家居和園藝用品） 、房屋油漆工和裝修師 (興建和維修) 、北歐風設計（建築） 、 Light fixture 、建築媒體 (設計) 、住家翻新 (住家修繕) 、整建（建築業） 、傢俱（居家裝潢） 或建材（工業材料和設備）",名單
30-60 / 沙鹿梧棲龍井大肚 / 倉儲物流司機,佳瓚大讚,差,"30-60 / 沙鹿梧棲龍井大肚 / 倉儲物流司機
-台灣大道七段（+3 公里）, 嘉里大榮沙鹿所（+3 公里）, 台中港-中港儲運（+3 公里）, 沙田路一段， 台中市（+3 公里） Taichung
-物流（商業與財務） 、倉儲業（產業） 、運輸（交通運輸） 、聯結車（交通工具） 、駕駛執照、配送（商務） 、叉車、衛星導航系統、重型設備（工業材料和設備） 、 Workwear 、汽車零件製造和銷售 (汽車) 、汽車技師 (汽車) 或美國貨運業（交通運輸）、行業類別：運輸與搬運",名單
28-55 / 靜宜東海 / 教育餐飲業出國,佳瓚大讚,差,"28-55 / 靜宜東海 / 教育餐飲業出國
-台中JMALL（+2 公里） ; 東海藝術商圈（+3 公里）, 靜宜大學 Providence University（+3 公里）
-教育學（教育） 、師範教育（職業訓練） 、亞洲教育 (教育) 、教育資源 (教育) 、書籍出版社 (出版商) 、閱讀（傳播） 、餐飲業（餐飲） 、烹飪（美食和餐飲） 、飲料（美食和餐飲） 、咖啡豆（咖啡） 、休閒餐廳 (餐廳) 、 LifeStyle Food 、早午餐（美食和餐飲） 、航空公司、 Skyscanner 、旅遊（旅遊觀光） 或外匯市場（貨幣）",名單
28-55 / 南屯中科 / 工業區職員,佳瓚大讚,差,"28-55 / 南屯中科 / 工業區職員
-中科園區（+5 公里）, 台中工業區（+5 公里）
-UberEATS 、室內設計（設計） 、機器人、自動化技術、工廠（製造業） 、機械加工、傢俱（居家裝潢） 、個人理財（銀行業） 、資訊科技（電腦和電子產品） 、金屬加工（建築業） 、汽車（交通工具） 、美食（美食和餐飲） 、電機工程（工程） 、保險（商業與財務） 、居家裝修（家居和園藝用品） 、 591房屋交易網、工程（科學） 、智慧科技 (消費電子產品) 、股票（投資） 、半導體、製造業（產業） 、健身和保健（健身） 、高科技（電腦和電子產品） 、投資（商業與財務） 、貸款（借貸） 、資產管理 (商業和金融業) 、房地產投資（投資） 、機械工程（工程） 、咖啡（美食和餐飲） 、工業工程 (工程) 、電子工程、科技（電腦和電子產品） 或 YouTube（串流服務）、行為：通勤者、行業類別：製造",名單
28-55 / 北屯 / 通勤上班族,原潮APT,差,"28-55 / 北屯 / 通勤上班族
-捷運文心崇德站 MRT Wenxin Chongde Station（+3 公里）
-上班族（流行文化） 、公司（商業與財務） 、商業（商業與財務） 、業務（商業與財務） 、保單（保險） 、有軌電車、金融服務（商業與財務） 、金錢（貨幣） 、證券（金融） 、銀行業（金融） 、優惠券、政府（政府機構） 、服裝（服飾） 、時事（政治） 、天氣預報、 Canva 、 Microsoft Office 或筆記型電腦（電腦）、行為：通勤者",名單
30-60 / 太平東區 / 公教職,原潮APT,差,"30-60 / 太平東區 / 公教職
-台中家商（+3 公里）, 宜欣國小（+3 公里）
-教育學（教育） 、師範教育（職業訓練） 、書籍（媒體刊物） 、學習（教育） 、暑假（小學和中學教育） 、書籍出版社 (出版商) 、學校（教育） 、健身和保健（健身） 、均衡飲食（個人護理） 、家庭（關係） 、快時尚（服飾） 、財政預算案或社群媒體（網路媒體）、行業類別：政府員工（全球） 、教育和圖書館、行政服務或軍事（全球）",名單
35-60 / 北屯太平 / 學區家長興趣,原潮APT,差,"35-60 / 北屯太平 / 學區家長興趣
-僑孝國小（+3 公里）, 偈亭-泡菜鍋【太平店】（+3 公里）
-學校（教育） 、教育（社會觀念） 、教育資源 (教育) 、課程（教育） 、語言教育、課外活動、運動場所 (體育運動) 、均衡飲食（個人護理） 、銀行帳戶 (銀行業) 、儲蓄（銀行業） 、健康和保健（個人護理） 、網路銀行（銀行業） 、餐廳（餐飲） 、速食（美食和餐飲） 、麥當勞（餐廳） 或家務（家居和園藝用品）、家長：父母（全部）",名單
28-45 /  北區西區 / 百貨業,原潮APT,差,"28-45 /  北區西區 / 百貨業
-中友百貨（+3 公里）, 新光三越 台中中港店（+2 公里）
-百貨公司（零售） 、上班族（流行文化） 、男裝品牌 (服飾) 、女裝品牌 (服飾) 、業務（商業與財務） 、美妝店 (零售) 、 Beauty Dior 、香奈兒（時尚品牌） 、蘭蔻（化妝品） 、顧客服務（商業與財務） 、化妝品（個人護理） 、香水（化妝品） 、美容（社會觀念） 、時尚配件（飾品配件） 、精品店（零售業者） 或髮型（護髮保養）",名單
30-55 / 桃園 / 保險業務,家悦美(副),差,"30-55 / 桃園 / 保險業務
-桃園交流道（+3 公里）, 桃園市保險業務職業工會（+3 公里）
-保險（商業與財務） 、 Professional services 、保單（保險） 、財務規劃（投資） 、風險管理、業務開發 (商業活動) 、財產保險、被動收入（商業與財務） 、生產率、投資報酬率（投資） 、時間管理、交通、儲蓄（銀行業） 、 MacBook 、時尚配件（飾品配件） 或動機（心理學）、行為：通勤者、行業類別：業務",名單
30-55 / 林口 / 私校外語名車,家悦美(副),可,"30-55 / 林口 / 私校外語名車
-康橋國際學校林口校區（+3 公里）, AAIA 新北美國學校 Asia American International Academy（+3 公里） ; 汐止-楊梅高架道路， 新莊區（+2 公里） New Taipei City
-私立學校（教育） 、國際學校（小學和中學教育） 、蒙台梭利教育法、語言教育、語言學校、兒童發展（小學和中學教育） 、以英語為第二語言或外語、 Early Learning Centre 、航空旅行（交通運輸） 、賓士（交通工具） 、保時捷、特斯拉汽車（交通工具） 或豪華轎車（交通工具）",名單
35-65 / 龍潭石門 / 投資證券美股,君品天玥,優,"35-65 / 龍潭石門 / 投資證券美股
-龍潭渴望園區（+3 公里）, 大平里（+3 公里）, 龍潭交流道（+2 公里）
-證券交易所（投資） 、財務規劃（投資） 、股票市場（投資） 、被動收入（商業與財務） 、股份 (金融) 、投資管理（投資） 、股票經紀人 (投資) 、資產管理 (商業和金融業) 、私募基金、私募股權投資 (投資) 、 Tax preparation 、私人銀行服務、納斯達克100指數、道瓊斯工業平均指數或標準普爾500指數",名單
30-60 / 湖口 / 科技業家庭,昌禾大苑首席,差,"30-60 / 湖口 / 科技業家庭
-千禧路200巷60號， Wangkaolou, T'Ai-Wan, Taiwan（+3 公里） Hsinchu; 湖口光復路（+3 公里）
-半導體、 Electrical wiring 、能源（科學） 、風冷、電腦伺服器（計算） 、工程（科學） 、物聯網、中央處理器（電腦硬體） 、 NVIDIA GeForce 、微軟、英特爾、電腦記憶體（電腦硬體） 、甲骨文公司、 Tesla (band) 、 AMD Radeon 、親子教育（兒童和親子教育） 、兒童活動 (興趣和休閒活動) 、教育資源 (教育) 或家庭（關係）",名單
30-65 / 竹科 / 房地產,LUCE VIVA,差,"30-65 / 竹科 / 房地產
-台積電12P4廠（+3 公里）, 聯發科技總部（+3 公里）, 新竹交流道南下（+2 公里）
-住宅房地產 (房地產) 、 591房屋交易網、房屋廣告和入口網站 (網站) 、房屋（房地產） 、不動產（房地產） 或首次購房者（房地產）、行業類別：資訊科技和技術服務、計算與數學或建築與工程",名單
30-65 / 北區香山 / 農業漁產,LUCE VIVA,差,"30-65 / 北區香山 / 農業漁產
-海山漁港（+2 公里）, 新竹漁港（+2 公里）, 農業科技研究院（+2 公里）
-房屋（房地產） 、不動產（房地產） 、農業新聞和內容 (農業) 、農業服務和組織 (產業) 、永續農業（農業） 、肥料（農業） 、批發（零售） 、園藝（農業） 、 Commercial fishing 、溫室、農業機械（農業） 、延繩捕魚或天氣預報、行業類別：農、林、漁業",名單
30-65 / 北屯太平潭子 / 換工作搬遷,大城二月埕,優,"30-65 / 北屯太平潭子 / 換工作搬遷
-洲際棒球場（+4 公里）, 潭子觀音媽祖廟（+4 公里）, 肥佬闆複合超市（+4 公里）
-職涯發展（工作機會） 、 Business networking 、領英、領導（社會觀念） 、專業發展（職業訓練） 、職涯（就業） 、商業領袖 (商業和金融) 、新家、房屋（房地產） 、起步房（房地產） 或上班族（流行文化）、行為：通勤者、生活要事：最近搬家或遠離家鄉
0130(加了之後很穩定)
+個人發展（個人身分） 、成人教育（職業訓練） 、在地美食（美食和餐飲） 或生產率, 行為：不與家人同住",名單
